scenario,timestamp,glucose_mgdl,sqi_pct,cgm_age_s,iob_u,cob_g,activity_state,activity_confidence_pct,motion_rms_5m,motion_rms_15m,active_minutes,post_exercise_minutes,basal_u_per_hr,insulin_30m_u,insulin_120m_u,carbs_30m_g,carbs_120m_g,physiology_present,trend_mgdl_min
stable_overnight,0,109.9,99.0,0.0,0.25,0.0,sedentary,96.0,3.0,2.6,10.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.0
stable_overnight,300,110.08,99.0,0.0,0.254,0.0,sedentary,96.0,3.049,2.598,11.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.035
stable_overnight,600,110.24,99.0,0.0,0.258,0.0,sedentary,96.0,3.096,2.592,12.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.033
stable_overnight,900,110.39,99.0,0.0,0.262,0.0,sedentary,96.0,3.136,2.583,13.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.029
stable_overnight,1200,110.51,99.0,0.0,0.266,0.0,sedentary,96.0,3.168,2.57,14.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.024
stable_overnight,1500,110.6,99.0,0.0,0.27,0.0,sedentary,96.0,3.19,2.554,15.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.018
stable_overnight,1800,110.65,99.0,0.0,0.273,0.0,sedentary,96.0,3.199,2.536,16.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.011
stable_overnight,2100,110.67,99.0,0.0,0.275,0.0,sedentary,96.0,3.197,2.517,17.0,0.0,0.8,0.3,0.6,0.0,0.0,1,0.004
stable_overnight,2400,110.65,99.0,0.0,0.277,0.0,sedentary,96.0,3.182,2.497,18.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.004
stable_overnight,2700,110.59,99.0,0.0,0.279,0.0,sedentary,96.0,3.156,2.477,19.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.012
stable_overnight,3000,110.5,99.0,0.0,0.28,0.0,sedentary,96.0,3.12,2.458,20.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.019
stable_overnight,3300,110.36,99.0,0.0,0.28,0.0,sedentary,96.0,3.076,2.441,21.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.026
stable_overnight,3600,110.2,99.0,0.0,0.28,0.0,sedentary,96.0,3.028,2.426,22.0,0.0,0.8,0.3,0.6,0.0,0.0,1,-0.032
